text,user_location,target
Judge Blocks Deportation Of 16-Year-Old Boy Who Claims Trump Is Using The Coronavirus As An Excuse… https://t.co/nriRxIwdkX,"California, USA",0
"Seven years after this TED Talk, what can we glean from it for education of children during the Covid-19 pandemic?… https://t.co/bFXzAS8Wyt","Pennsylvania, USA",2
Organizers in NY have released a statement for @NYGovCuomo and state law makers after another incarcerated person w… https://t.co/bLD4rHBZBR,"Easthampton, MA (USA)",2
How many nails in the coffin does someone need? Will every randomized study looking at the same question be publish… https://t.co/H5fHwI2k6J,"New haven, CT, USA",2
"what I am afraid of

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch… https://t.co/pTZZJogQKm","New Jersey, USA",2
@JoshuaPotash Are they there to protect the courthouse or burn it down?  Will masks really protect them from transm… https://t.co/wCg561Q1W6,USA and Rio de janeiro,1
"Another example of how Reagan, enabled by Lincoln Project type republicans, contributed to the hellscape we all now… https://t.co/l4wHCJJWsl","Midwest, USA",2
"So, if you do not live in New England, Hawaii or N.Y., @CharlieBakerMA wants you to stay the heck out, unless you q… https://t.co/xADG1iGMGu","Connecticut, USA",2
Long but revealing piece about #COVID19 #coronavirus #vaccine https://t.co/HYPUXYvWta,"North Carolina, USA",2
"I've been in #Texas for 3 days, helping my daughter move.
In Austin, the state #MaskMandate is being followed &amp; peo… https://t.co/oTvZAXmmpg",USAhttps://twitter.c,1
"Isn't it suspicious how leftist mayors, govs, etc all colluded to kill the US economy by shuttering small businesse… https://t.co/mXNv7hZMV5",USA,0
"#Coronavirus in #Egypt: There is a total of 4,518 confirmed deaths from #COVID19.","Florida, USA",2
"#ZedTwitter would you want a free hand sanitizer
Download the medsearch zambia 👉📱app. And get location of the neare… https://t.co/LFMjEJa3qA",Lusaka,1
"In a 5-4 vote, the @SCOTUSblog rejected a Nevada church's request to block enforcement of state restrictions on att… https://t.co/T2Gq1eCxMF","Boston, USA",0
You can’t get #Covid_19 handing out sandbags in Florida Maybe this is why Florida has a big problem… https://t.co/NSifmtGMWN,"California, USA",2
"Survey Finds the Average Person Has Gained 7 Pounds During Quarantine

https://t.co/QzOW23Cmzs

I really am not hap… https://t.co/oag7os6cSL","Pennsylvania, USA",1
This week I learned my son has been secretly training for a Zombie Apocalypse (or Broadway Play if you see the end)… https://t.co/5t7zitl4jq,"Virginia, USA",1
"Your belief in GOD or a higher power, does not transfer to good morals.
If ONLY it was that easy.
Morality is a cho… https://t.co/LaIIyMbMX8","Virginia, USA",1
Anna Levine got her law degree at 62 and beat cancer twice. Then coronavirus took her https://t.co/rK1v0R67dT  👈 cl… https://t.co/Ciz4tBLBPJ,"California, USA",0
@drdavidsamadi @JamminWithDonna Stop spreading deny and lies. Covid is spiking in many states. Amercians are banned… https://t.co/qv8viDOWKo,"Massachusetts, USA",0
"and I pray for all these things, amen. #COVID19 #chaplain #healthcareworkers #FirstResponders","South Carolina, USA",1
#NewMusic coming from @JenniferMlott #music to help your #COVID19 blues.,"Indiana, USA",1
"@BarackObama Also @sarahzhang  @DrDenaGrayson, schools require kids, rightfully so, get vaccinated for what we have… https://t.co/bDEJwwDS1t","Maryland, USA",2
Republicans forcing all of us off this $600 #unemployment cliff had better be prepared for the other side of this.… https://t.co/4UHK7rMjTy,"Vermont, USA",1
COVID-19: What Can Artificial Intelligence Contribute to Healthcare Industry #ARTIFICIALINTELLIGENCE #CORONAVIRUS… https://t.co/v5HL85Ol4O,"Belgium, USA, Pakistan",1
"If #SCOTUS rules that protests are legal, but gathering as a church is not, then isn't assembling as a congregation… https://t.co/2qVEFdcyzq","North Carolina, USA",0
"“To be able to meet their financial needs, women were already diversifying their activities to include animal husba… https://t.co/LPaj27RMLK","New York, USA",2
@BarackObama Not sure if I missed it but another concern @sarahzhang @DrDenaGrayson is the amount it will all cost… https://t.co/b0ypGkDBLb,"Maryland, USA",0
"Sinclair Broadcasting is under attack by Marxist media activists again for airing... 

#Plandemic - The Dr #Fauci S… https://t.co/6TkUy3VV12",USA,0
@realDonaldTrump #DonaldTrump is trying to create a #AryanNation Federal agency of racism. he is about to face the… https://t.co/p8y6dKPWOA,"New York, USA",0
"Put Others First
View Others 👀
As More Important Than Yourself
Abandon Every Display Of Selfishness
Possess A Great… https://t.co/fnwi6oaJE7","Washington, USA",0
"How does the non-aggression principle apply to the current raft of state-issued public health mandates? 
#COVID19… https://t.co/DNqk93SC6C",USA,2
"Gunshot To Head, Parkinson's Disease, Deaths In Palm Beach Incorrectly Attributed To #COVID19 https://t.co/at5v89Jw4C #ChinaVirus","Tennessee, USA",2
Social Media Has Turned Bill Gates Into The Coronavirus Pandemic’s Fake Villain https://t.co/bHuCfuMoCj  👈 click th… https://t.co/YyPI4T41zR,"California, USA",0
#Coronavirus in #Moldova: There is a total of 726 confirmed deaths from #COVID19.,"Florida, USA",2
Adams County food inspector says she disagrees with the mask mandate – WPTA21 Someone should not have a job.… https://t.co/hXXDlXpnt2,"Michigan, USA",0
"Laurent is the only active @NFL player who is also a med school grad.

He has been on the front lines of #COVID19.… https://t.co/nVX6fYslKu","Maryland, USA",1
We currently have more cases of #COVID19 in PA per day then we had in May.,"Pennsylvania, USA",2
3) I'm hoping this will distract you from my massive medical failures when it comes to #covid19 so you'll vote for… https://t.co/Rw2jSIy4ur,"Texas, USA",0
"it is over here 

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch… https://t.co/1JUS1H6IeS","New Jersey, USA",2
"One positive of #COVID19, my mask can hide my resting bitch face",USA 🇺🇸,0
During #COVID19 giving the gift of support is more than an unique gift idea. Its a way to ensure your expecting fam… https://t.co/IhlR7VWA2j,"California, USA",1
"#NuvanceHealth infection control &amp; prevention specialists share tips about low-, medium-, and high-risk activities… https://t.co/vYRJzJS8LO","Danbury, CT, USA",1
Parents ask their #COVID19 questions about #backtoschool - https://t.co/15x7LT0zPz &lt;-- advice from my hospital.… https://t.co/wpbPH9i4Kx,"Illinois, USA",2
"@realDonaldTrump Same tweet. All lies. 

BOR-ING 

Know what isn’t boring ?  #Covid19 and #unemployment 

They’re damn stressful","New Jersey, USA",0
@HGiamarco @MSNBC Cuomo flattened the curve by sending #COVID-19+ patients into nursing homes. THOUSANDS died becau… https://t.co/cLTQiQtTNu,Midwest USA,0
Supreme Court Rejects Nevada Church’s Challenge to Coronavirus Shutdown Restrictions https://t.co/Ocpnmceyhw  👈 cli… https://t.co/2GGSUgBecU,"California, USA",1
The U.K. is also mounting an anti-obesity campaign as a way NOT to die from #COVID19:             Coronavirus: Indo… https://t.co/jJF0GHHB4Z,"New Jersey, USA",1
Coronavirus orphans: When kids lose both parents to #COVID19 https://t.co/tZNXp3R92n,Washington DC USA,0
"Anyone want to video: exposure to working around #Covid19 while using #Zinc?

I plan on making this public informat… https://t.co/29Zy20RsPh",USA,1
"#Coronavirus in #France: There is a total of 217,797 confirmed cases of #COVID19.","Florida, USA",2
Seriously @IndyMayorJoe @Marion_Health are you trying to get the whole city infected? Wtf is wrong with you?… https://t.co/5Sew3PxOxP,"Indiana, USA",0
Maybe pay people a LIVING WAGE so they won't have to work 2 jobs just to pay rent? #unemploymentbenefits… https://t.co/aP8PyqFy8L,"Texas, USA",0
#SocialDistancing due to #COVID19 in a new state I moved to for fellowship has made me bored enough to do Uworld qu… https://t.co/XAJQdD0PA7,"Rhode Island, USA",0
"""Allison Hanes: Challenging myths in ..."" has been published on https://t.co/PafDlE671X @ https://t.co/37SAhwrK11… https://t.co/iTyAwtDZtj","Los Angeles, California USA",1
What Arizona’s Tenuous Coronavirus Plateau Could Teach Us https://t.co/tAK7Dw1hGa  👈 click the link #plandemic… https://t.co/1WZebukhr2,"California, USA",2
#COVID19 is not the only thing brewing in Florida. https://t.co/lhbfzzwtkq,"Pennsylvania, USA",2
@BusyDrT You're doing a disservice to the community. JUST SAYING! #COVID19 #COVIDIOT,USA,2
"@CNN It’s Sickening to me that this is what you will report, but you will not say anything about the people rioting… https://t.co/Kh0QufWM59","Ohio, USA",0
"In the far reaches of northern Maine, the drought is getting severe. Could impact Aroostook County #potato  crop wh… https://t.co/8hvmahoWc9","Maine, USA",0
"8 Tactics School Leaders can Employ to Strengthen Empathy
https://t.co/Dj6Ofjvsgp

#schoolrubric #communication… https://t.co/4KEGVdPuCv","Orlando, Florida, USA",1
"Fun fact 🐈

#ketamine #covid19 #covid #coronvirus #coronavirusmemes https://t.co/rIuyKOJ0He","Colorado, USA",1
"Daily #COVID19 update: in the last 24hrs, Zambia recorded 472 new cases,12 recoveries and 3 additional community de… https://t.co/4W2sgiubx7","Lusaka, Zambia",2
"#USA #BREAKING #BlackLivesMatter #COVID19 #IfMomsRan2020 #QAnons #GreatAwakening 
Thread written ~ years ago, but n… https://t.co/3fffLdcHCs",USA,2
"@ASALifeline @DocAsha_com #facemask #MaskUp #MasksSaveLives #COVID19  I wear a mask at home, in the #grocerystore a… https://t.co/XurJa8fhjs","New Hampshire, USA",2
"#Coronavirus in #Honduras: There is a total of 1,061 confirmed deaths from #COVID19.","Florida, USA",2
Las Vegas Coronavirus Relief Task Force Partnered With Company Tied To UAE Intelligence https://t.co/QBElgU1cI2  👈… https://t.co/mg3CmsZzSz,"California, USA",1
"Dr. Anthony Fauci threw out the first pitch before the Nationals-Yankees game.

Still more accurate than his COVID-… https://t.co/TNceUCbhff","Stamford, Connecticut, USA",2
Cardi-B TRIED TO WARN US https://t.co/kdtrWc1yU7 via @YouTube. #COVID19  #coronavirus #COVID,"Connecticut, USA",0
This pandemic is alive and well. Everything we choose to do is so important. We can save lives. We have to be smart… https://t.co/jkg9jWJA0m,"Massachusetts, USA",1
"NEW #COVID19 COMMENTARY:

#Brazil should learn from the United States that the worst is yet to come! -&gt; Lack of inf… https://t.co/F0JrgjjeUG",London UK - Boston USA,0
Especially during #COVID19? 🤢😷 https://t.co/6gMRaFdDju,"Massachusetts, USA",2
Here is some good news for #MedicalMarijuana amidst #COVID19  https://t.co/VkhautPR1v,"Connecticut, USA",1
"I 💜 us #girls.  We’re all “OMG!  I love your mask, where did you get it?!”  #COVID19","Florida, USA",1
A pestilence is sweeping our land. The gods are pissed. It's time to take this situation into our own hands with an… https://t.co/456NiKoqjm,"California, USA",0
"Your Saturday Chuckle, from our Tim Hartman: @GovernorTom Wolf, the Musical https://t.co/7GvGiyuEpD via… https://t.co/vzGk0JoEpl","Pennsylvania, USA",1
"Filmmaker and elite marathon runner, Alexi Pappas wants to make sure ‘the complete person is happening’… https://t.co/e4lYm8Soqv","California, USA",1
#blacklivesmatter #BLM Has Toddlers Marching with F**K  https://t.co/thkbjSbKUl  #COVID19 #coronavirus #pandemic… https://t.co/JuKPl8h0rI,"Earth, USA",2
"If Covid 19 was the NFL, America would be the 2008 Detroit Lions. 

 #COVID19 #CovidHoax #NFL #Biden2020 #TrumpVirus","Venice, California, USA",2
"#Coronavirus in #Norway: There is a total of 9,092 confirmed cases of #COVID19.","Florida, USA",2
"I guess #Coronavirus isn't a thing in #Portland 🤔

They have be protesting and rioting for about 60 days straight.… https://t.co/uhSJC7leMh","Florida, USA",0
So many stories of our auto industry stepping up to support and innovate for healthcare. @Automotive_News has been… https://t.co/gpUVm3Kodk,"Detroit, Michigan USA",1
Wear Your Mask! Reusable Washable Anti Air Pollution PM2.5 Face Mask Mouth Masks Protective https://t.co/oPuVePgXyJ… https://t.co/UjvcpiqDik,"New York, USA",0
Supreme Court rejects Nevada church plea to allow larger congregation #COVID19 #SaveTheChildren https://t.co/SYwKactq0f,"Michigan, USA",1
@Rainmom91 @DC_Draino If the damn masks worked covid would be behind us. They've mandated masks in CA over a month… https://t.co/ENuZ4K40O3,USA,0
As someone now on the front lines I just want to tell you that not everyone has the same idea of “clean” or “saniti… https://t.co/KkO1jgeXjR,"Virginia, USA",1
A pestilence is sweeping our land. The gods are pissed. It's time to take this situation into our own hands with an… https://t.co/sHRNmZ6NiJ,"California, USA",0
"@realDonaldTrump Bounties on our troops
At least 1 phone call to Putin EVERY MONTH
Stormtroopers in our cities
@GOP… https://t.co/6XoeDB4OBM","Pennsylvania, USA",2
#COVID19 has really effected just about everything #MedicalMarijuana https://t.co/rggfNDxB6f,"Connecticut, USA",2
Check out #WalkAwayFromDemocrats Democrats are tired of the #DefundThePolice and #BLMTerrorists and joining us… https://t.co/WXsXLVzRQ1,"California, USA",0
#Coronavirus in #Mauritius: There is a total of 344 confirmed cases of #COVID19.,"Florida, USA",2
Make this go viral. @GovAbbott #COVID19 #southtexas @fema #txlege #TexasCovid19 #Texas @texasdemocrats #hildago https://t.co/WnptEr6w3M,"Texas, USA",2
The term b.c. will have a whole new meaning. #COVID19,"Planet Earth, West Coast, USA",2
"Florida company adapts drones to sanitize stadiums, venues https://t.co/tCU4GYOFeQ #smjdrones #covid19 #sports #medical #innovation","Maryland, USA",2
Zambia has recorded 472 new cases of COVID-19 in the last 24hrs. This is the highest daily record since the first t… https://t.co/CCjKduakbv,"Lusaka, Zambia",2
"To my reps: @RepJoshG @CoryBooker @BobMenendezNJ 

It’s practically August, we have the WORST F’N #COVID19 response… https://t.co/ca2HxhmTwh","New Jersey, USA",0
"Thanks for Europe and the us media, spare no effort to promote Taiwan media, put us into a savage primitive RACES,… https://t.co/kLor0Q7Db6","New York, USA",1
cop masturbates in front of women https://t.co/4bxFHQXZdg  https://t.co/34dbgFgSIL OUR NEW COUNTRY IS GOING 2 B GRE… https://t.co/p7e0hzP0mV,"Texas, USA",2
"#COVID19  Bro, we are gonna get tested an i know Mine will be positive because I have a stuffy nose heavy chest/har… https://t.co/nXvaVcixWb",some place in Alaska (USA),1
Healthcare Marketing Matters Update: How Will You Manage the Hospital Patient Experience Post COVID-19? #hosptials… https://t.co/oS2kcAzvb7,"Global, USA, Chicago",1
"New Healthcare Marketing Matters blog post:  Hospitals Need to Rebuild Trust, Not Send Pre-Pandemic Marketing Messa… https://t.co/R4ulF0AeAm","Global, USA, Chicago",1
A new old man blog post: The Uncensored Guide to Surviving the SARS-CoV-2 Pandemic #pandemic #survivalguide… https://t.co/0ZAB7jYt4R,"Global, USA, Chicago",1
An old man blog update: Ten Sanity Saving Things to do During the Pandemic #tenthings #sanitysavers #bloggerstribe… https://t.co/4zygQBLkMw,"Global, USA, Chicago",2
A new Healthcare Marketing Matters post:  News Flash: SARS-CoV-2 has Changed Everything. Hospital Marketing Needs t… https://t.co/DtZaSRfMzv,"Global, USA, Chicago",1
A new old man bog update: There is no “New Normal.” It’s Called Social Conditioning.  #socialconditioning… https://t.co/xY7saak45H,"Global, USA, Chicago",0
"Healthcare Marketing Matters update: With the ""New Normal"" Courtesy of SARS-CoV2, What is Your Continuous Engagemen… https://t.co/m1RqTSKDcx","Global, USA, Chicago",1
Healthcare Marketing Matters blog post: Time for Marketing's Return to the Hospital Leadership Table #hospital… https://t.co/20melAeQ3J,"Global, USA, Chicago",1
Healthcare Marketing Matters Update: Where Are All The Patients? And How Do You Get Them Back?  #hospital #covid19… https://t.co/HfePUJo30r,"Global, USA, Chicago",1
"New Healthcare Marketing Matters post:  Lessons From The SARS-CoV-2 Pandemic, Are You Ready For A Chief Engagement… https://t.co/DdwwfNhBNo","Global, USA, Chicago",1
New Healthcare Marketing Matters Post:  How Are You Reengaging Patients Post COVID-19? #hospital #covid19… https://t.co/lkK8k1Bj8D,"Global, USA, Chicago",1
"Six key beliefs to guide your thinking about returning to school in the Fall from Heinemann author, Sarah M. Zerwin… https://t.co/Nn3BmT0nt1","Portsmouth, New Hampshire, USA",2
A new old man blog post: Ten Ways to Stay Safe During a SARS-CoV-2 (Coronavirus) Surge. And still Enjoy Going Out.… https://t.co/w4hNsvwtg9,"Global, USA, Chicago",1
A new  old man blog post:  My All-Time Favorite Movie List. What's On Your List?  ; #movies #favoriates #hollywood… https://t.co/oEAKbzjTWZ,"Global, USA, Chicago",1
"A new Healthcare Marketing Matters blog post:  ""Hey Siri, Alexa, I Think I May Be Coronavirus Sick. Who Should I Ca… https://t.co/tE0F8bZo2L","Global, USA, Chicago",0
"@naes666 Mother fvcker!!! 🤬🤬🤬🤬🤬

JFC I don’t know why I’m surprised.. I can’t believe it’s practically F’N AUGUST,… https://t.co/AAvpVIqRMr","New Jersey, USA",2
An old man blog update: Eight Ways To Make Wearing A Face Mask Fun.  #covid19 #facemasks #pandemic #covididiots… https://t.co/aJ1yxC6tNH,"Global, USA, Chicago",1
"LIVE BLOG: Airport association calls for non-discriminatory relief for members

https://t.co/Nue9ZfFujy via… https://t.co/5B4yI5HjQk","New York, USA",1
"Celebrating with Brother on his big day. Drive-thru High School graduation in the time of #COVID19, with friends &amp;… https://t.co/zcYIqu10am","Florida, USA",1
"#Coronavirus in #Latvia: There is a total of 1,205 confirmed cases of #COVID19.","Florida, USA",2
Wheres the media? Arent they sll selfish for not socially distancing &amp; not wearing nasis #COVID19 https://t.co/xHEjxJKZTJ,N.E USA,1
McDonald’s and Chipotle announce mask policies for customers https://t.co/PHd0HacJjB  👈 click the link #plandemic… https://t.co/6nu7FZNSiX,"California, USA",2
Wear Your Mask! Women Mens Kids 3d Funny Mouth Mark Cover Facemask Washable Hip Hop Party Magic… https://t.co/Q3r6mwfKfw,"New York, USA",1
"""DON'T DESTROY HISTORY"" Chicago Residents UPSET About Christopher Columb... https://t.co/nqasFjxudH via @YouTube… https://t.co/ioMG3K6vYu","Florida, USA",1
"Analytics #managers have pivoted during the #COVID19 pandemic but now, they’re starting to reboot their predictive… https://t.co/z8e5noBjNF","Cambridge, MA, USA",2
#MelGibson attacked by #COVID19  https://t.co/m2cjW4AKh8,"Maryland, USA",0
"Something happened since that 1st case. We got on top of it &amp; had days of no new cases. 

Until @DanielAndrewsMP ‘… https://t.co/Z0SXL3NP6P",Australia and USA,0
"#Coronavirus in #Italy: There is a total of 35,097 confirmed deaths from #COVID19.","Florida, USA",2
"#AnswerTo:

To anyone who has caught #COVID19, or knows someone who has, how bad are the #symptoms? 

by Kittie Ray… https://t.co/kZmh4O94SG",WA USA,0
FIRS actually wrote that the new emphasis on stamp duty is to generate revenue to cover up for the declining oil re… https://t.co/8Gy5MMLAL2,"California, USA",2
"#COVID19 #chinaflu #CoronaVirusSA #kprc2 #TeacherSafetyIsEssential 
In the 19 county Houston area, MSA(8 million pe… https://t.co/ykAJDc6FKq",USA,2
"I would say #2020 is the worst year ever, but personally they’ve all sucked #COVID19 #BlackLivesMattters #CancelCulture","Alabama, USA",0
"Your #Coronavirus Update - Today - July 25, 2020 - what you need to know in #RhodeIsland... 

https://t.co/qcdjZQj20l  #Covid19","Rhode Island, USA",2
"COVID-19 and schools: @realDonaldTrump  pushes teachers like me into danger - https://t.co/xbfW3zF1CQ

So....when w… https://t.co/fs9Yqh9KF8",USA - DC,0
"Associated Press FACT CHECK: 
✅ Trump's alternate reality on #COVID19 threat.
https://t.co/MAt8Zni21Q",USA and Global,0
"UPDATED: RI Nursing Home/Group Home Data - ONE Nursing Home with significant outbreak - TWO others...

#RhodeIsland… https://t.co/tDV10B1FZ3","Rhode Island, USA",1
Lemon and Cuomo poke fun at Dr. Fauci's pitch at baseball game https://t.co/Q5QcvltjmS  👈 click the link #plandemic… https://t.co/4tz482ZNIo,"California, USA",1
